External code,Vendor,Centre,Dice_BG_ED,Dice_LV_ED,Dice_MYO_ED,Dice_RV_ED,Dice_BG_ES,Dice_LV_ES,Dice_MYO_ES,Dice_RV_ES,IoU_BG_ED,IoU_LV_ED,IoU_MYO_ED,IoU_RV_ED,IoU_BG_ES,IoU_LV_ES,IoU_MYO_ES,IoU_RV_ES
A0S9V9,F,6,0.9950030446052551,0.9694415330886841,0.8233921527862549,0.9359335899353027,0.9962536692619324,0.9559789299964905,0.8166301846504211,0.9116724133491516,0.9900557398796082,0.9406952857971191,0.6998017430305481,0.8795819282531738,0.9925352334976196,0.9156701564788818,0.6900887489318848,0.8376819491386414
A1D0Q7,B,2,0.9865666627883911,0.8928372859954834,0.7899824380874634,0.7738584280014038,0.987316906452179,0.7185702323913574,0.7268928289413452,0.5466498136520386,0.9734894037246704,0.8064192533493042,0.6528685688972473,0.6311330199241638,0.9749515056610107,0.5607566237449646,0.5709596276283264,0.3761308193206787
A1D9Z7,A,1,0.9458229541778564,0.685913622379303,0.06970588117837906,0.1051865741610527,0.9543538689613342,0.5071574449539185,0.0358293391764164,0.1814851313829422,0.8972145318984985,0.5219699740409851,0.036111533641815186,0.055512890219688416,0.9126929640769958,0.3397260308265686,0.018241459503769875,0.0997985452413559
A1E9Q1,F,6,0.9924477338790894,0.9283018708229065,0.7981088757514954,0.9037580490112305,0.9944910407066345,0.9112520813941956,0.8241205811500549,0.8894581198692322,0.9850086569786072,0.8661971688270569,0.664044201374054,0.8244147300720215,0.9890424609184265,0.8369725346565247,0.7008547186851501,0.8009225726127625
A1K2P5,D,5,0.9404263496398926,0.3021692931652069,0.03917781636118889,0.42107415199279785,0.9684687256813049,0.3787103295326233,0.009389671497046947,0.3945275843143463,0.8875517249107361,0.17797374725341797,0.019980300217866898,0.2666839361190796,0.9388651251792908,0.23358586430549622,0.004716981202363968,0.24573925137519836
A1O8Z3,B,3,0.9928701519966125,0.8773677945137024,0.3843080401420593,0.8795091509819031,0.9925834536552429,0.6644280552864075,0.16184449195861816,0.7676136493682861,0.9858413338661194,0.7815273404121399,0.23785971105098724,0.784932017326355,0.9852761030197144,0.4974857568740845,0.08804722130298615,0.6228677034378052
A2C0I1,F,6,0.9956498742103577,0.9607976078987122,0.870100200176239,0.945870578289032,0.997012197971344,0.9131707549095154,0.8538594245910645,0.9178206324577332,0.9913374781608582,0.9245529174804688,0.7700684666633606,0.8973003029823303,0.9940422773361206,0.8402154445648193,0.7449867129325867,0.8481224775314331
A2E3W4,C,4,,,,,,,,,,,,,,,,
A2H5K9,B,2,0.985106885433197,0.853608250617981,0.7799128293991089,0.8759194612503052,0.9917888045310974,0.8170128464698792,0.7686511874198914,0.8811134696006775,0.970650851726532,0.7446042895317078,0.6392270922660828,0.7792319059371948,0.9837113618850708,0.6906354427337646,0.6242351531982422,0.7874913811683655
A2L1N6,F,6,0.9968569278717041,0.9657458662986755,0.8933002352714539,0.9329107403755188,0.9969695806503296,0.9414169192314148,0.8484671115875244,0.9112972021102905,0.9937335252761841,0.9337607026100159,0.8071748614311218,0.8742574453353882,0.9939574599266052,0.8893178701400757,0.736815333366394,0.8370486497879028
